,token,count
0,white house,556
1,new york,359
2,president trump,318
3,green new,256
4,health care,160
5,new deal,151
6,united states,134
7,border security,132
8,donald trump,131
9,state union,126
10,border wall,126
11,trump administration,124
12,nancy pelosi,119
13,government shutdown,116
14,vice president,115
15,partial government,114
16,speaker nancy,113
17,supreme court,112
18,special counsel,111
19,house speaker,109
20,climate change,109
21,trump said,107
22,democratic presidential,101
23,last week,97
24,michael cohen,94
25,attorney general,92
26,national emergency,87
27,minority leader,85
28,capitol hill,85
29,majority leader,83
30,federal government,81
31,counsel robert,78
32,house oversight,77
33,house democrats,76
34,national security,74
35,former president,69
36,washington post,69
37,president donald,69
38,hillary clinton,66
39,last year,66
40,trump campaign,65
41,committee chairman,65
42,social media,65
43,bernie sanders,65
44,federal workers,64
45,trump told,64
46,pleaded guilty,60
47,homeland security,59
48,said statement,59
49,democratic party,58
50,chief staff,58
51,intelligence committee,56
52,judiciary committee,55
53,house democratic,54
54,told reporters,54
55,last month,54
56,campaign finance,54
57,union address,53
58,north korea,53
59,york times,52
60,national committee,51
61,funding border,51
62,leader mitch,50
63,southern border,50
64,president barack,50
65,democratic primary,48
66,kim jong,48
67,american people,47
68,said trump,47
69,elizabeth warren,46
70,former trump,46
71,false statements,45
72,house intelligence,45
73,kamala harris,45
74,york city,44
75,declare national,44
76,democratic national,44
77,north korean,43
78,de blasio,42
79,senate majority,42
80,former vice,42
81,leader chuck,42
82,ilhan omar,41
83,border patrol,41
84,justice department,41
85,one count,40
86,oversight committee,40
87,democratic leaders,40
88,senate minority,40
89,make sure,39
90,first time,39
91,native american,39
92,trump tower,39
93,immigration customs,38
94,members congress,38
95,chad pergram,38
96,barack obama,38
97,become first,37
98,los angeles,37
99,law enforcement,37
100,illegal immigrants,37
101,foreign affairs,37
102,secretary state,37
103,president mike,37
104,wall street,37
105,new jersey,37
106,high school,36
107,customs enforcement,36
108,senate republicans,36
109,house chief,36
110,health insurance,36
111,woman elected,35
112,trump tweeted,35
113,sarah sanders,35
114,secretary sarah,35
115,will face,35
116,house minority,35
117,presidential campaign,34
118,saudi arabia,34
119,president joe,34
120,even though,34
121,democratic socialist,33
122,house judiciary,33
123,jong un,33
124,will never,33
125,rashida tlaib,33
126,partial federal,33
127,will take,32
128,republican national,32
129,department homeland,32
130,joe biden,32
131,cory booker,32
132,house senate,32
133,billion border,32
134,leader nancy,32
135,said will,32
136,executive order,32
137,economic security,31
138,john roberts,31
139,house foreign,31
140,ongoing partial,31
141,senate judiciary,31
142,new hampshire,31
143,real estate,31
144,first woman,30
145,world war,30
146,york democratic,30
147,trump will,30
148,making false,30
149,sanders said,29
150,presidential candidate,29
151,security adviser,29
152,greenhouse gas,29
153,alex pappas,29
154,will continue,28
155,wall along,28
156,ranking member,28
157,pushed back,28
158,brooke singman,28
159,southern district,28
160,political action,27
161,martin luther,27
162,text messages,27
163,collusion trump,27
164,senate intelligence,27
165,whether trump,27
166,tuesday night,27
167,pappas contributed,27
168,air travel,27
169,affordable care,27
170,said interview,27
171,district new,27
172,new congress,26
173,puerto rico,26
174,crown prince,26
175,south carolina,26
176,chairman house,26
177,san francisco,26
178,gregg re,26
179,house secretary,26
180,secret service,26
181,former attorney,26
182,first black,25
183,federal immigration,25
184,president united,25
185,cohen said,25
186,along border,25
187,pergram contributed,25
188,amy klobuchar,25
189,democrats said,25
190,luther king,24
191,andrew cuomo,24
192,action childhood,24
193,deferred action,24
194,mike pence,24
195,officials said,24
196,house representatives,24
197,adam shaw,24
198,housing urban,24
199,leader kevin,24
200,attorney michael,24
201,korean leader,24
202,press conference,24
203,according campaign,23
204,bill de,23
205,became first,23
206,partial shutdown,23
207,democratic socialists,23
208,obama administration,23
209,republicans democrats,23
210,according new,23
211,leader kim,23
212,oval office,23
213,earlier year,23
214,end partial,23
215,spending bill,23
216,hundreds thousands,23
217,earlier month,23
218,president george,23
219,respond request,23
220,first female,22
221,tax rate,22
222,childhood arrivals,22
223,said last,22
224,billions dollars,22
225,people want,22
226,financial services,22
227,shaw contributed,22
228,gas emissions,22
229,trump called,22
230,new democratic,22
231,work without,22
232,tax returns,22
233,middle east,22
234,general election,22
235,affairs committee,22
236,trump organization,22
237,senior adviser,22
238,many people,22
239,kirsten gillibrand,22
240,street journal,22
241,percent percent,22
242,years prison,22
243,three years,22
244,tax cuts,21
245,emergency declaration,21
246,control house,21
247,security clearance,21
248,democratic leader,21
249,house republicans,21
250,singman contributed,21
251,official told,21
252,general jeff,21
253,democratic caucus,21
254,foreign policy,21
255,said monday,21
256,former new,21
257,congressional leaders,21
258,billion funding,21
259,president said,21
260,trump announced,21
261,will likely,21
262,cohen will,21
263,made clear,20
264,trump signed,20
265,sexual assault,20
266,chuck schumer,20
267,elected congress,20
268,pelosi said,20
269,said house,20
270,presidential candidates,20
271,urban development,20
272,jeff sessions,20
273,former fbi,20
274,house press,20
275,house correspondent,20
276,democrats will,20
277,trump directed,20
278,re contributed,20
279,mike emanuel,20
280,democratic alexandria,20
281,el paso,20
282,said president,20
283,robert mueller,20
284,will go,20
285,discharge petition,19
286,count making,19
287,democratic candidate,19
288,take action,19
289,build wall,19
290,president obama,19
291,leader steny,19
292,lindsey graham,19
293,investigation russian,19
294,fbi director,19
295,late last,19
296,comments made,19
297,press secretary,19
298,cohen pleaded,19
299,personal attorney,19
300,criminal justice,19
301,presidential hopefuls,19
302,told new,19
303,state department,19
304,exploratory committee,19
305,medical school,19
306,running president,19
307,federal prosecutors,19
308,black woman,18
309,funding wall,18
310,conservative commentators,18
311,conservative political,18
312,director james,18
313,universal health,18
314,presidential bid,18
315,will make,18
316,federal employees,18
317,trump family,18
318,impeach president,18
319,city mayor,18
320,income inequality,18
321,two years,18
322,reopen government,18
323,news conference,18
324,barrier along,18
325,democratic candidates,18
326,maxine waters,17
327,civil rights,17
328,covington catholic,17
329,mark meadows,17
330,russian meddling,17
331,congressional democrats,17
332,look forward,17
333,pelosi told,17
334,human trafficking,17
